video_id,video_name,topic_keywords
qYNONfbUqbE,Inside London Mayfair £65million Refurbishment | Britain's Most Expensive Home | Channel 4,"building,earth,century,trust,age,mind,country,mortgage,fabulous,manage,marvel,life,home,bit,enough,size,inside,floor,million,disabled,mayfair,fortune,share,admire,big,love,much,expensive,documentary,guy,money,changed,grade,amazing,chemistry,reply,work,refurbishment,channel 4 lifestyle,friend,many,billionaire,fact,little,bet,area,semi,mansion,future,dream,cold,main,good,extension,house,attractive,pay,client,thing,success,credit,year,agency,people,part,bed,special,channel,trent,entire,poor,lol,man,way,first,staff,worth,charity,strategy,london,britain,beautiful,courtyard,entrance,qualified,nice,old,example"
gjL636ibnII,Exploring Manchester's Abandoned Debenhams: Found 1930s Secrets,"building,rot,fascinating,couple,quality,urbandoned,generation,beauty,think,debenhams,time,office,irreplaceable,thank,attention,wonder,retail,ex,floor,white,paint,furniture,rd,lewis,foam,exploring,abandoned,video,guard,manchester,complete,top,sense,code,reply,see,work,happy,detail,guess,many,fire,fact,restaurant,main,experience,found,sell,aware,place,art,people,part,extraordinary,level,locked,today,public,security,upper,sterile,black,hidden,hope,shop,store,secrets,staff,room,day,beautiful,bright,omg,great,nice,whole,manager,old"
NR5pWBy-6Fk,The Insane Engineering of the M1 Abrams,"aircraft,world,package,round,favorite,abrams,time,engineering,distance,thank,thick,equipment,noise,system,quick,increase,autoloader,piece,model,love,much,composite,reactive,layer,military,video,tanker,content,amazing,projectile,suspension,excellent,war,animation,reply,engine,work,real engineering,turbine,technical,available,diesel,many,fact,fuel,area,stuff,unreliable,awesome,main,gas,hearing,jet,good,torsion,insane,tank,mbt,year,lot,bar,voice,plate,people,metric,frequency,armor,track,depth,smoke,spanish,french,episode,first,challenger,small,school,new,great,material"
GL36jqZHPs0,The Perfect Crispy Skin Pork Belly (Lechon Kawali),"server,peanut,level,sinigang,crispy,filipino,rice,version,justice,beef,stew,josh,belly,food,bagoong,spanish,love,different,breakfast,main,garlic,suggestion,sandwich,sauce,liver,dish,bahel,good,butter,wrong,pork,man,smile,idea,video,soup,test,joshua weissman,guy,give,homemade,recipe,onion,ethiopian,juice,perfect,conquer,taste,calamansi,top,eritrean,thank,lot,proud,savory,taro,reply,key,great,work,lechon,kawali,part,next,family,vinegar,papaya,pinoy,green,cuisine,skin,reference"
IohA4aOxtnA,Sudan army says foreign nationals to be evacuated as Khartoum fighting continues - BBC News,"donkey,vast,shooting,nature,world,age,distress,downturn,flag,desire,rich,suggestion,mind,country,true,time,end,word,life,hypnosis,defence,attention,investment,heavenly,nationals,ultra,empire,ground,rail,son,dry,gun,fighting,movie,gospel,eternal,global,love,glory,military,third,bbc news,accordance,location,evacuated,alive,marketing,daily,reply,figure,market,happy,chapman,bbc,cell,involvement,sudan,icon,area,notorious,unfortunate,different,main,unusual,foreign,bud,army,tank,news,chest,story,voice,modern,people,tiktok,refugee,trial,ordinary,economic,dead,continues,want,says,impossible,ruler,understand,arabism,sudanese,khartoum,father,instance,complex,day,second,bad,beer,cultural,light,power,death"
WSIuRlbhHuI,UK economy crippled by inflation - are high prices here to stay?,"hard,nuance,downturn,rich,turn,country,mortgage,energy,reality,investment,industry,prices,problem,enough,uk,eminent,create,fortune,supply,covid,severity,love,much,bob,result,easy,interesting,effect,content,cost,money,cut,sense,advice,reply,right,view,investigator,work,market,extent,price,less,expert,homeless,record,government,rate,style,indicator,main,inflation,minister,recession,currency,head,thing,mate,account,cpi,people,stay,slave,channel 4 news,economic,matter,target,stagnant,poor,economy,devaluation,way,wage,worth,day,crippled,rent,business,informative,portfolio,high,number,fair"
dV00JxVDBdk,How To Start Trading Stocks As A Complete Beginner (1/3),"tment,hard,income,time,crisis,end,word,thank,trend,investment,home,hiding,long,past,need,release,goal,dividend,stocks,trading,brother,short,video,drop,effect,guy,support,beginner,money,complete,ricky gutierrez,possible,reply,right,market,gain,investing,opening,start,main,retire,inflation,good,ready,hubby,trade,decision,tragic,step,year,lot,full,people,part,member,important,economic,retirement,matter,week,profit,stock,bloom,complex,strategy,young,financial,new,plan,great,portfolio,ding,next,old,high,term,link"
fCdXvp0tTnc,Restoring a Neglected Chinese Juniper Bonsai,"legendary,nature,world,favorite,beauty,youtube,time,end,thank,attention,child,home,clever,family,heart,bonsai,bonsai releaf,tree,kid,sweet,neglected,love,much,restoring,video,film,line,guy,incredible,priceless,amazing,gorgeous,reply,work,terrarium,detail,little,music,teaching,artist,pretty,awesome,different,main,juniper,good,manifest,grab,excited,tenderness,editing,art,thing,chinese,moment,lot,dog,part,transformation,reason,important,entire,daughter,moss,care,hope,man,way,brilliant,caretaker,hand,talented,skilled,beautiful,adorable,small,wholesome,business,great,consideration,next,look"
qhL6BYHeh3I,[ASMR] 도자기 키캡 1시간,"sure,sentence,metal,ugh,variety,도자기,soft,thank,ping,specific,key,noise,tent,waaaaooooo,hollow,enough,plastic,acrylic,alsjd,hammer,es,pero,love,clairedelune,faux,드보키 dbokey,composure,video,simplicity,sound,occasional,reply,see,keycap,este,hggghhh,guess,little,palkankorotus,main,stale,spacebar,por,sonido,시간,thing,moment,gaeulmail,difficult,bar,키캡,original,touch,duermo,switch,pleasant,brand,case,keyboard,depth,ceramic,fantastic,cap,lol,idea,tink,beautiful,lovely,light,new,tarp,asmr,space,great,nice,composition,normal,material"
GXlckaGr0Eo,ASMR Programming - Coding Pacman - No Talking,"humanity,last,game,pacman,choice,motion,dev,coding,energy,outstanding,life,check,thank,wonder,binary,section,user,project,graph,page,multiple,interview,bro,big,love,exciting,servet gulnaroglu,block,video,sound,content,discount,amazing,top,code,reply,side,ceiling,coder,lack,map,talking,current,html,different,com,technique,main,good,ghost,cool,live,edit,heavy,css,similar,original,execute,mapping,mode,level,waay,keyboard,comparison,target,servet,swap,tile,lol,web,man,way,mobile,responsiveness,scatter,know,programming,day,beautiful,description,direction,skill,notch,asmr,search"
